id;имя;категория;плотность;статТрение;динТрение;упругость;Cd;r;g;b;metallic;smoothness
iron;Железо;Metal;7870;0.55;0.45;0.45;0.9;138;141;145;1;0.55
copper;Медь;Metal;8960;0.5;0.42;0.45;0.9;198;125;78;1;0.8
aluminium;Алюминий;Metal;2700;0.45;0.38;0.45;0.9;200;203;208;1;0.72
gold;Золото;Metal;19300;0.45;0.38;0.45;0.9;255;215;94;1;0.95
silver;Серебро;Metal;10490;0.5;0.42;0.45;0.9;223;226;230;1;0.95
lead;Свинец;Metal;11340;0.6;0.52;0.3;0.9;93;96;104;1;0.45
titanium;Титан;Metal;4500;0.5;0.42;0.45;0.9;154;161;171;1;0.7
tungsten;Вольфрам;Metal;19250;0.6;0.5;0.4;0.9;111;115;121;1;0.6
magnesium;Магний;Metal;1740;0.4;0.35;0.4;0.9;185;189;194;1;0.6
nickel;Никель;Metal;8900;0.5;0.42;0.45;0.9;179;184;191;1;0.75
zinc;Цинк;Metal;7140;0.5;0.4;0.4;0.9;170;176;184;1;0.6
tin;Олово;Metal;7310;0.45;0.38;0.4;0.9;182;188;196;1;0.65
platinum;Платина;Metal;21450;0.45;0.38;0.45;0.9;214;218;222;1;0.92
chromium;Хром;Metal;7190;0.4;0.35;0.5;0.9;217;221;226;1;0.98
cobalt;Кобальт;Metal;8900;0.5;0.42;0.45;0.9;141;151;165;1;0.7
molybdenum;Молибден;Metal;10280;0.55;0.45;0.4;0.9;154;160;168;1;0.65
uranium;Уран;Metal;19050;0.6;0.52;0.3;0.9;122;130;101;1;0.5
mercury;Ртуть;Metal;13546;0.2;0.1;0.1;0.9;195;200;207;1;1
beryllium;Бериллий;Metal;1850;0.45;0.38;0.4;0.9;201;206;212;1;0.65
lithium;Литий;Metal;534;0.4;0.35;0.3;0.9;212;216;220;1;0.5
steel_structural;Сталь конструкционная;Alloy;7850;0.5;0.42;0.5;0.95;111;119;128;1;0.6
stainless_304;Нержавеющая сталь AISI 304;Alloy;7900;0.45;0.38;0.5;0.95;185;192;200;1;0.85
cast_iron;Чугун серый;Alloy;7200;0.6;0.5;0.35;0.95;89;93;99;1;0.3
bronze;Бронза;Alloy;8800;0.5;0.42;0.45;0.95;176;129;80;1;0.75
brass;Латунь;Alloy;8500;0.45;0.38;0.45;0.95;207;174;84;1;0.8
duralumin_d16;Дюралюминий Д16;Alloy;2780;0.45;0.38;0.45;0.92;182;188;196;1;0.7
nichrome;Нихром;Alloy;8400;0.5;0.42;0.45;0.95;143;138;134;1;0.7
invar;Инвар;Alloy;8100;0.5;0.42;0.45;0.95;154;160;166;1;0.6
solder_pos61;Припой ПОС-61;Alloy;8500;0.4;0.32;0.35;0.95;194;200;206;1;0.8
